epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,240.546,0.45694,0.37559,0.88076,0.9173,0.96287,0.95837,0.81259,0.5211,0.42976,0.95059,0.000494885,0.000494885,0.000494885
43,246.986,0.43988,0.36239,0.87296,0.91784,0.96136,0.96136,0.83317,0.50251,0.39767,0.92649,0.000486639,0.000486639,0.000486639
44,252.3,0.45499,0.37345,0.88327,0.88395,0.98604,0.96405,0.82294,0.50702,0.39444,0.91358,0.000478392,0.000478392,0.000478392
45,257.831,0.44681,0.35642,0.87929,0.92186,0.9438,0.96184,0.83405,0.48584,0.3888,0.91496,0.000470145,0.000470145,0.000470145
46,263.827,0.42666,0.35125,0.86776,0.90202,0.96891,0.95457,0.82583,0.49823,0.40338,0.9205,0.000461898,0.000461898,0.000461898
47,268.789,0.42664,0.35596,0.87811,0.89962,0.9565,0.9358,0.79207,0.50452,0.41505,0.93647,0.000453652,0.000453652,0.000453652
48,275.152,0.42471,0.35994,0.86812,0.89313,0.96569,0.93937,0.80263,0.49321,0.41711,0.92916,0.000445405,0.000445405,0.000445405
49,280.559,0.42331,0.34476,0.87365,0.90542,0.9794,0.94341,0.80667,0.49832,0.42781,0.93408,0.000437158,0.000437158,0.000437158
50,286.243,0.4232,0.34717,0.87896,0.90705,0.98818,0.94941,0.81934,0.49317,0.42588,0.93724,0.000428912,0.000428912,0.000428912
51,292.674,0.43102,0.36357,0.87907,0.89908,0.97033,0.94734,0.82284,0.48237,0.40278,0.93224,0.000420665,0.000420665,0.000420665
52,297.97,0.42597,0.34576,0.86947,0.91182,0.97033,0.95445,0.82682,0.47753,0.39972,0.9353,0.000412418,0.000412418,0.000412418
53,304.596,0.40653,0.32679,0.86409,0.91435,0.9733,0.95697,0.83114,0.48232,0.39942,0.94464,0.000404172,0.000404172,0.000404172
54,309.812,0.43593,0.34348,0.87847,0.9121,0.98334,0.96696,0.82903,0.48708,0.38368,0.94481,0.000395925,0.000395925,0.000395925
55,315.835,0.40028,0.34021,0.86412,0.89808,0.9759,0.96402,0.83129,0.48387,0.38735,0.94565,0.000387678,0.000387678,0.000387678
56,321.515,0.41003,0.33256,0.86206,0.90028,0.97691,0.95594,0.83603,0.47404,0.3563,0.9363,0.000379431,0.000379431,0.000379431
57,326.673,0.40474,0.345,0.87259,0.89474,0.97226,0.95274,0.83419,0.48099,0.37664,0.9307,0.000371185,0.000371185,0.000371185
58,333.232,0.40556,0.32831,0.85734,0.90757,0.98209,0.96213,0.82956,0.48769,0.38373,0.94704,0.000362938,0.000362938,0.000362938
59,338.534,0.41474,0.32448,0.86472,0.90371,0.98785,0.96136,0.82427,0.4908,0.39439,0.94901,0.000354691,0.000354691,0.000354691
60,344.38,0.40587,0.31657,0.85208,0.9159,0.95747,0.96904,0.83017,0.49724,0.36916,0.95312,0.000346445,0.000346445,0.000346445
61,350.286,0.40705,0.32604,0.85923,0.90666,0.98622,0.97138,0.83124,0.49527,0.36389,0.94736,0.000338198,0.000338198,0.000338198
62,355.481,0.38973,0.32575,0.86711,0.90868,0.98483,0.96093,0.83373,0.47912,0.36969,0.93733,0.000329951,0.000329951,0.000329951
63,363.301,0.40528,0.3295,0.8671,0.91259,0.98545,0.95273,0.82692,0.47531,0.37966,0.94314,0.000321705,0.000321705,0.000321705
64,367.992,0.39462,0.31327,0.85867,0.90531,0.97033,0.95818,0.83422,0.48823,0.36946,0.94617,0.000313458,0.000313458,0.000313458
65,373.434,0.3816,0.31167,0.85169,0.90664,0.97033,0.95775,0.83329,0.47816,0.38077,0.9457,0.000305211,0.000305211,0.000305211
66,378.881,0.39685,0.31983,0.86839,0.9153,0.97756,0.95137,0.81823,0.47978,0.39111,0.95204,0.000296964,0.000296964,0.000296964
67,384.55,0.37814,0.30611,0.85225,0.91848,0.98535,0.9519,0.80447,0.48607,0.41966,0.95757,0.000288718,0.000288718,0.000288718
68,391.04,0.39085,0.31589,0.85421,0.91592,0.97818,0.95641,0.81179,0.47694,0.39818,0.95898,0.000280471,0.000280471,0.000280471
69,396.043,0.3836,0.30188,0.85472,0.91637,0.97033,0.96078,0.82055,0.475,0.3876,0.95546,0.000272224,0.000272224,0.000272224
70,402.329,0.37731,0.29833,0.8465,0.91798,0.9766,0.95103,0.81569,0.46759,0.3863,0.95178,0.000263978,0.000263978,0.000263978
71,407.755,0.3687,0.28966,0.85086,0.89871,0.9725,0.95011,0.82473,0.4633,0.39461,0.94388,0.000255731,0.000255731,0.000255731
72,413.004,0.38467,0.31121,0.86177,0.90891,0.97033,0.95418,0.82759,0.46164,0.38241,0.9499,0.000247484,0.000247484,0.000247484
73,419.423,0.371,0.28779,0.85936,0.91587,0.98569,0.95479,0.82467,0.46937,0.38796,0.95677,0.000239238,0.000239238,0.000239238
74,424.698,0.36719,0.30338,0.85937,0.9162,0.98818,0.95438,0.82548,0.47017,0.383,0.95826,0.000230991,0.000230991,0.000230991
75,430.807,0.38152,0.29578,0.85432,0.9134,0.98818,0.95744,0.83034,0.47834,0.38042,0.96622,0.000222744,0.000222744,0.000222744
76,436.535,0.36383,0.28472,0.85433,0.91078,0.98818,0.95568,0.82552,0.48052,0.38293,0.96315,0.000214497,0.000214497,0.000214497
77,441.652,0.36665,0.28531,0.8535,0.90823,0.98818,0.96263,0.83571,0.47355,0.38004,0.95778,0.000206251,0.000206251,0.000206251
78,447.771,0.35077,0.27843,0.83991,0.90773,0.98818,0.96545,0.8364,0.46856,0.37681,0.95924,0.000198004,0.000198004,0.000198004
79,452.939,0.3443,0.27229,0.84662,0.90591,0.98684,0.96057,0.83045,0.47845,0.37708,0.95785,0.000189757,0.000189757,0.000189757
80,459.098,0.3549,0.27706,0.84989,0.90575,0.98361,0.96094,0.83612,0.46876,0.37961,0.95905,0.000181511,0.000181511,0.000181511
81,464.5,0.34766,0.27248,0.84189,0.9083,0.98316,0.95603,0.82393,0.49199,0.38161,0.97281,0.000173264,0.000173264,0.000173264
82,469.782,0.35259,0.28045,0.84606,0.90981,0.98818,0.9594,0.83702,0.46647,0.36835,0.96793,0.000165017,0.000165017,0.000165017
83,476.554,0.3591,0.27819,0.84273,0.9056,0.98818,0.95628,0.83276,0.46988,0.36924,0.96455,0.000156771,0.000156771,0.000156771
84,481.513,0.35313,0.27634,0.85065,0.90659,0.98798,0.94657,0.82218,0.47079,0.37151,0.96544,0.000148524,0.000148524,0.000148524
85,488.017,0.34418,0.26869,0.83757,0.91173,0.98552,0.94727,0.81946,0.47251,0.37316,0.97017,0.000140277,0.000140277,0.000140277
86,493.445,0.34381,0.26699,0.83799,0.91316,0.98738,0.9567,0.8373,0.46733,0.36123,0.96789,0.000132031,0.000132031,0.000132031
87,498.552,0.33407,0.26573,0.84291,0.91264,0.98674,0.95193,0.83296,0.47322,0.37018,0.97145,0.000123784,0.000123784,0.000123784
88,505.365,0.33668,0.26267,0.84523,0.91242,0.98189,0.96204,0.8376,0.4749,0.36351,0.97607,0.000115537,0.000115537,0.000115537
89,510.699,0.34221,0.26548,0.84739,0.91191,0.98188,0.96206,0.84134,0.47666,0.36301,0.97788,0.00010729,0.00010729,0.00010729
90,516.808,0.34495,0.26917,0.8416,0.91086,0.98604,0.96216,0.83935,0.48044,0.36302,0.97572,9.90437e-05,9.90437e-05,9.90437e-05
91,525.306,0.31086,0.24969,0.81992,0.91212,0.98818,0.95095,0.82705,0.46837,0.36976,0.97217,9.0797e-05,9.0797e-05,9.0797e-05
92,531.201,0.3048,0.23793,0.81993,0.91792,0.98818,0.94415,0.82614,0.4692,0.3707,0.97353,8.25503e-05,8.25503e-05,8.25503e-05
93,536.311,0.30512,0.23408,0.81605,0.91878,0.98818,0.94326,0.82229,0.47309,0.36608,0.97567,7.43036e-05,7.43036e-05,7.43036e-05
94,541.171,0.29296,0.22785,0.80743,0.91752,0.98818,0.94648,0.82093,0.46654,0.37038,0.9738,6.60569e-05,6.60569e-05,6.60569e-05
95,546.782,0.29945,0.22568,0.8115,0.91632,0.98731,0.94803,0.82497,0.45931,0.36872,0.97151,5.78102e-05,5.78102e-05,5.78102e-05
96,551.638,0.29545,0.2237,0.8207,0.91442,0.98818,0.948,0.8239,0.46061,0.36379,0.97553,4.95635e-05,4.95635e-05,4.95635e-05
97,556.472,0.28642,0.21891,0.80951,0.91433,0.98818,0.94926,0.83023,0.46239,0.36409,0.97521,4.13168e-05,4.13168e-05,4.13168e-05
98,562.108,0.28277,0.21873,0.80936,0.91554,0.98818,0.94818,0.83085,0.46034,0.37159,0.9734,3.30701e-05,3.30701e-05,3.30701e-05
99,566.897,0.28973,0.22099,0.81209,0.91575,0.98818,0.951,0.83541,0.45766,0.37184,0.97469,2.48234e-05,2.48234e-05,2.48234e-05
100,571.858,0.28234,0.21532,0.81077,0.91561,0.98818,0.9494,0.83166,0.45474,0.37215,0.97289,1.65767e-05,1.65767e-05,1.65767e-05
